"text","rt","key_press","block_duration","timing_post_trial","trial_id","trial_type","trial_index","time_elapsed","internal_node_id","exp_id","full_screen","focus_shifts","view_history","correct","stimulus","correct_response","possible_responses","stim_duration","feedback_duration","exp_stage","condition","trial_num","mode","responses","payment_id","credit_var"
"<div class = centerbox><p class = center-block-text>Welcome to the experiment. This task will take around 10 minutes. Press <strong>enter</strong> to begin.</p></div>","3994","13","3994","0","instruction","poldrack-text","0","3996","0.0-0.0-0.0","go-nogo","true","0","","","","","","","","","","","","","",""
"","22165","","","","instruction","poldrack-instructions","1","26162","0.0-0.0-1.0","go-nogo","true","0","[{""page_index"":0,""viewing_time"":22164}]","","","","","","","","","","","","",""
"","-1","-1","1130","250","practice","poldrack-categorize","2","29302","0.0-1.0-0.0","go-nogo","true","0","","true","<div class = centerbox><div id = stim1></div></div>","-1","32","750","1000","practice","nogo","0","random","","",""
"","-1","-1","1452","250","practice","poldrack-categorize","3","32010","0.0-1.0-1.0","go-nogo","true","0","","true","<div class = centerbox><div id = stim1></div></div>","-1","32","750","1000","practice","nogo","1","random","","",""
"","-1","-1","1368","250","practice","poldrack-categorize","4","34635","0.0-1.0-2.0","go-nogo","true","0","","true","<div class = centerbox><div id = stim1></div></div>","-1","32","750","1000","practice","nogo","2","random","","",""
"","390","32","1251","250","practice","poldrack-categorize","5","37142","0.0-1.0-3.0","go-nogo","true","0","","true","<div class = centerbox><div  id = stim2></div></div>","32","32","750","1000","practice","go","3","random","","",""
"","376","32","1474","250","practice","poldrack-categorize","6","39871","0.0-1.0-4.0","go-nogo","true","0","","true","<div class = centerbox><div  id = stim2></div></div>","32","32","750","1000","practice","go","4","random","","",""
"","304","32","1157","250","practice","poldrack-categorize","7","42284","0.0-1.0-5.0","go-nogo","true","0","","true","<div class = centerbox><div  id = stim2></div></div>","32","32","750","1000","practice","go","5","random","","",""
"","-1","-1","1007","250","practice","poldrack-categorize","8","44546","0.0-1.0-6.0","go-nogo","true","0","","true","<div class = centerbox><div id = stim1></div></div>","-1","32","750","1000","practice","nogo","6","random","","",""
"","-1","-1","1339","250","practice","poldrack-categorize","9","47140","0.0-1.0-7.0","go-nogo","true","0","","true","<div class = centerbox><div id = stim1></div></div>","-1","32","750","1000","practice","nogo","7","random","","",""
"","402","32","1205","250","practice","poldrack-categorize","10","49600","0.0-1.0-8.0","go-nogo","true","0","","true","<div class = centerbox><div  id = stim2></div></div>","32","32","750","1000","practice","go","8","random","","",""
"","346","32","1177","250","practice","poldrack-categorize","11","52033","0.0-1.0-9.0","go-nogo","true","0","","true","<div class = centerbox><div  id = stim2></div></div>","32","32","750","1000","practice","go","9","random","","",""
"","","","","","reset_trial","call-function","12","52285","0.0-3.0","go-nogo","true","0","","","","","","","","","","","","","",""
